fixture,sqft,gloss_layers,cur_hr,measured_median_hr,measured_p75_hr,cur_machine_$,measured_machine_$,cur_ink_$,measured_ink_$,total_cost_delta_$
100x3x3 CMYK,6.94,0,0.05,0.37,0.17,0.37,2.96,0.83,1.45,3.21
1000x3x3 CMYK,69.44,0,0.46,3.69,1.72,3.7,29.55,8.28,14.49,32.06
585x7.13x3.13 CMYK,100.74,0,0.67,5.36,2.49,5.37,42.87,12.01,21.01,46.5
585 labels +1X gloss,100.74,1,1.59,20.62,10.96,12.7,164.97,24.02,77.65,205.91
585 labels +3X gloss,100.74,3,3.42,51.15,27.89,27.35,409.18,48.03,190.92,524.72
4x5 x100 CMYK,15.43,0,0.1,0.82,0.38,0.82,6.57,1.84,3.22,7.12
4x5 x500 CMYK,77.16,0,0.51,4.1,1.91,4.12,32.83,9.2,16.1,35.62
4x5 x1000 CMYK,154.32,0,1.03,8.21,3.82,8.23,65.67,18.39,32.19,71.23
4x5 x1000 +1X gloss,154.32,1,2.43,31.59,16.79,19.45,252.72,36.79,118.95,315.43
4x5 x1000 +3X gloss,154.32,3,5.24,78.35,42.72,41.9,626.83,73.58,292.48,803.83
