anonId,printer,klass,profile,copies,pageX_in,pageY_in,areaX_in,areaY_in,layout_sqft,art_sqft,print_s,rip_s,cmyk_ml,white_ml,gloss_ml,other_ml,sqft_per_hr,p_start,flags
job-2a4e04d3c7,LG-640,LG640_CMYK_WHITE_COMBINED,Generic Sign Production,3,9.13,3.736,40.093,3.736,1.0401,0.7106,953.0,46.0,0.8700000000000001,1.391,0.0,0.0,3.93,2026-07-24T17:56:46,
job-2a4e04d3c7,LG-640,LG640_WHITE_ONLY,Generic Sign Production,3,9.13,3.736,40.093,3.736,1.0401,0.7106,706.0,,0.0,4.173,0.0,0.0,5.3,2026-07-24T16:43:18,
job-2a4e04d3c7,LG-640,LG640_WHITE_ONLY,Generic Sign Production,3,9.13,3.736,40.093,3.736,1.0401,0.7106,737.0,,0.0,4.173,0.0,0.0,5.08,2026-07-24T16:19:21,
job-2a4e04d3c7,LG-640,LG640_WHITE_ONLY,Generic Sign Production,3,9.13,3.736,40.093,3.736,1.0401,0.7106,1991.0,87.0,0.0,4.173,0.0,0.0,1.88,2026-07-24T16:10:07,
job-faf80f53ee,LG-640,LG640_GLOSS_ONLY,Special Effects,98,7.0,2.7,50.898,37.8,13.3606,12.8625,9734.0,,0.0,0.0,65.615,0.0,4.94,2026-07-23T22:15:45,
job-e1b1fd65a2,LG-640,LG640_GLOSS_ONLY,Special Effects,98,7.128,3.128,51.347,43.791,15.6149,15.1763,11539.0,,0.0,0.0,55.816,0.0,4.87,2026-07-23T10:05:08,
job-08055ce4c7,LG-640,LG640_GLOSS_ONLY,Special Effects,98,7.128,3.128,51.367,43.791,15.6209,15.1763,8714.0,,0.0,0.0,33.411,0.0,6.45,2026-07-22T17:59:22,
job-d3709c6c95,LG-640,LG640_GLOSS_ONLY,Special Effects,130,3.989,5.0,52.323,50.0,18.1679,18.004,12329.0,,0.0,0.0,38.477,0.0,5.3,2026-07-22T08:35:35,
job-d9cbc52889,LG-640,LG640_GLOSS_ONLY,Special Effects,130,3.989,5.0,52.323,50.0,18.1679,18.004,6025.0,,0.0,0.0,78.8,0.0,10.86,2026-07-22T08:35:25,
job-75b64fd601,LG-640,LG640_GLOSS_ONLY,Special Effects,130,3.989,5.0,52.323,50.0,18.1679,18.004,896.0,21.0,0.0,0.0,14.236,0.0,73.0,2026-07-22T08:16:58,
job-75b64fd601,LG-640,LG640_CMYK_ONLY,Generic Sign Production,130,3.989,5.0,52.323,50.0,18.1679,18.004,12475.0,20.0,18.8,0.0,0.0,0.0,5.24,2026-07-21T22:02:05,
