anonId,printer,count,classes
job-2a4e04d3c7,LG-640,2,DUPLICATE_SUMMARY;LG640_CMYK_WHITE_COMBINED
job-2a4e04d3c7,LG-640,2,DUPLICATE_SUMMARY;LG640_WHITE_ONLY
job-2a4e04d3c7,LG-640,3,OTHER_EVENT:New Job(Queue A)
job-32f3455cca,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-faf80f53ee,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-95eef3b177,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-95eef3b177,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-e1b1fd65a2,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-47770191a8,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-7123aeb679,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-7123aeb679,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-3b0cdfde86,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-08055ce4c7,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-3b0cdfde86,LG-640,2,CANCELED
job-08055ce4c7,LG-640,2,CANCELED;FAILED
job-386a3bbab3,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-87aade2f63,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-72665fa585,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-d3709c6c95,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-d9cbc52889,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-3b0cdfde86,LG-640,2,CANCELED
job-3b0cdfde86,LG-640,2,CANCELED
job-08055ce4c7,LG-640,4,CANCELED
job-386a3bbab3,LG-640,2,CANCELED
job-87aade2f63,LG-640,2,CANCELED
job-72665fa585,LG-640,2,CANCELED
job-d3709c6c95,LG-640,2,CANCELED
job-d9cbc52889,LG-640,2,CANCELED
job-75b64fd601,LG-640,2,FAILED;LG640_CMYK_ONLY
job-449278b9e6,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-123b1fa48a,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-01da95a678,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-ce975953f3,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-d45c085186,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-1abe8d5668,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-b1d4338e3e,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-6d87adfd01,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-443b710bd3,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-350bb89581,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
