anonId,printer,event,klass,layout_sqft,print_s,reason,flags
job-2a4e04d3c7,LG-640,Print Canceled,CANCELED,1.04,876.0,canceled/failed,
job-2a4e04d3c7,LG-640,Print End,DUPLICATE_SUMMARY,1.04,427.0,duplicate,
job-2a4e04d3c7,LG-640,Print End,DUPLICATE_SUMMARY,1.04,554.0,duplicate,
job-2a4e04d3c7,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.804,,bad_time_or_dims_or_event,missing_print_times
job-34abe3beca,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.406,,bad_time_or_dims_or_event,missing_print_times
job-32f3455cca,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.406,,bad_time_or_dims_or_event,missing_print_times
job-32f3455cca,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.406,,bad_time_or_dims_or_event,missing_print_times
job-faf80f53ee,LG-640,Print End,DUPLICATE_SUMMARY,13.361,6001.0,duplicate,
job-faf80f53ee,LG-640,Print End,DUPLICATE_SUMMARY,13.361,4881.0,duplicate,
job-faf80f53ee,LG-640,Print End,DUPLICATE_SUMMARY,13.361,1215.0,duplicate,
job-faf80f53ee,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.561,,bad_time_or_dims_or_event,missing_print_times
job-95eef3b177,LG-640,Print End,LG640_GLOSS_ONLY,2.911,19375.0,bad_time_or_dims_or_event,possible_idle_gt4h
job-95eef3b177,LG-640,Print End,DUPLICATE_SUMMARY,2.911,18292.0,duplicate,possible_idle_gt4h
job-95eef3b177,LG-640,Print End,LG640_GLOSS_ONLY,7.277,17703.0,bad_time_or_dims_or_event,possible_idle_gt4h
job-95eef3b177,LG-640,Print End,DUPLICATE_SUMMARY,7.277,15623.0,duplicate,possible_idle_gt4h
job-95eef3b177,LG-640,Print End,DUPLICATE_SUMMARY,7.277,14616.0,duplicate,possible_idle_gt4h
job-95eef3b177,LG-640,Print End,DUPLICATE_SUMMARY,7.277,12534.0,duplicate,
job-e1b1fd65a2,LG-640,Print End,DUPLICATE_SUMMARY,15.615,6851.0,duplicate,
job-e1b1fd65a2,LG-640,Print End,DUPLICATE_SUMMARY,15.615,5631.0,duplicate,
job-e1b1fd65a2,LG-640,Print End,DUPLICATE_SUMMARY,15.615,1332.0,duplicate,
job-e1b1fd65a2,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.651,,bad_time_or_dims_or_event,missing_print_times
job-95eef3b177,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.381,,bad_time_or_dims_or_event,missing_print_times
job-47770191a8,LG-640,Print End,LG640_GLOSS_ONLY,13.572,32107.0,bad_time_or_dims_or_event,possible_idle_gt4h
job-47770191a8,LG-640,Print End,DUPLICATE_SUMMARY,13.572,28969.0,duplicate,possible_idle_gt4h
job-47770191a8,LG-640,Print End,DUPLICATE_SUMMARY,13.572,27711.0,duplicate,possible_idle_gt4h
job-47770191a8,LG-640,Print End,DUPLICATE_SUMMARY,13.572,24612.0,duplicate,possible_idle_gt4h
job-7123aeb679,LG-640,Print End,LG640_GLOSS_ONLY,13.572,23389.0,bad_time_or_dims_or_event,possible_idle_gt4h
job-7123aeb679,LG-640,Print End,DUPLICATE_SUMMARY,13.572,19533.0,duplicate,possible_idle_gt4h
job-7123aeb679,LG-640,Print End,DUPLICATE_SUMMARY,13.572,18277.0,duplicate,possible_idle_gt4h
job-7123aeb679,LG-640,Print End,DUPLICATE_SUMMARY,13.572,14245.0,duplicate,
job-47770191a8,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.754,,bad_time_or_dims_or_event,missing_print_times
job-7123aeb679,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.754,,bad_time_or_dims_or_event,missing_print_times
job-7123aeb679,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.754,,bad_time_or_dims_or_event,missing_print_times
job-e3b0c44298,LG-640,Error,FAILED,0.0,,canceled/failed,nonpositive_dims|missing_print_times|missing_copies
job-3b0cdfde86,LG-640,Print End,LG640_GLOSS_ONLY,15.621,17958.0,bad_time_or_dims_or_event,possible_idle_gt4h
job-3b0cdfde86,LG-640,Print End,DUPLICATE_SUMMARY,15.621,14890.0,duplicate,possible_idle_gt4h
job-3b0cdfde86,LG-640,Print End,DUPLICATE_SUMMARY,15.621,13318.0,duplicate,
job-3b0cdfde86,LG-640,Print End,DUPLICATE_SUMMARY,15.621,9938.0,duplicate,
job-08055ce4c7,LG-640,Print End,DUPLICATE_SUMMARY,15.621,5515.0,duplicate,
job-08055ce4c7,LG-640,Print End,DUPLICATE_SUMMARY,15.621,4293.0,duplicate,
job-08055ce4c7,LG-640,Print End,DUPLICATE_SUMMARY,15.621,1231.0,duplicate,
job-3b0cdfde86,LG-640,Print Canceled,CANCELED,15.621,33692.0,canceled/failed,possible_idle_gt4h
job-3b0cdfde86,LG-640,Print Canceled,CANCELED,15.621,33700.0,canceled/failed,possible_idle_gt4h
job-08055ce4c7,LG-640,Print Canceled,CANCELED,15.621,33690.0,canceled/failed,possible_idle_gt4h
job-08055ce4c7,LG-640,Print Error,FAILED,15.621,33690.0,canceled/failed,possible_idle_gt4h
job-386a3bbab3,LG-640,Print End,LG640_GLOSS_ONLY,18.2,32553.0,bad_time_or_dims_or_event,possible_idle_gt4h
job-386a3bbab3,LG-640,Print End,DUPLICATE_SUMMARY,18.2,27282.0,duplicate,possible_idle_gt4h
job-87aade2f63,LG-640,Print End,LG640_GLOSS_ONLY,18.2,25947.0,bad_time_or_dims_or_event,possible_idle_gt4h
job-87aade2f63,LG-640,Print End,DUPLICATE_SUMMARY,18.2,21093.0,duplicate,possible_idle_gt4h
job-72665fa585,LG-640,Print End,LG640_GLOSS_ONLY,18.175,19435.0,bad_time_or_dims_or_event,possible_idle_gt4h
job-72665fa585,LG-640,Print End,DUPLICATE_SUMMARY,18.175,13675.0,duplicate,
job-d3709c6c95,LG-640,Print End,DUPLICATE_SUMMARY,18.168,7474.0,duplicate,
