printer,klass,width_band,n,weighted_sqfthr,median_sqfthr
LG-540,LG540_CMYK_ONLY,24-36,1,9.6,9.6
LG-540,LG540_CMYK_ONLY,36-48,1,12.1,12.1
LG-540,LG540_CMYK_ONLY,48+,180,21.3,45.2
LG-540,LG540_CMYK_WHITE_COMBINED,36-48,1,20.0,20.0
LG-540,LG540_CMYK_WHITE_COMBINED,48+,3,6.9,4.5
LG-540,LG540_GLOSS_ONLY,24-36,15,1.5,2.6
LG-540,LG540_GLOSS_ONLY,36-48,19,3.4,3.7
LG-540,LG540_GLOSS_ONLY,48+,162,7.8,7.8
LG-540,LG540_GLOSS_ONLY,<12,1,0.8,0.8
LG-640,LG640_CMYK_ONLY,24-36,7,6.9,9.8
LG-640,LG640_CMYK_ONLY,36-48,5,28.7,14.0
LG-640,LG640_CMYK_ONLY,48+,115,12.8,19.7
LG-640,LG640_CMYK_WHITE_COMBINED,36-48,1,3.9,3.9
LG-640,LG640_CMYK_WHITE_COMBINED,48+,13,8.7,5.5
LG-640,LG640_GLOSS_ONLY,24-36,2,0.4,1.8
LG-640,LG640_GLOSS_ONLY,36-48,5,5.5,4.8
LG-640,LG640_GLOSS_ONLY,48+,157,6.8,6.7
LG-640,LG640_WHITE_ONLY,36-48,3,3.3,5.1
LG-640,LG640_WHITE_ONLY,48+,4,4.5,5.7
